word,meaning,phonetic,example,hit
"despair","n.绝望 vi.绝望","disˈpeə","",1
"despise","vt.鄙视，蔑视","disˈpaiz","",1
"destruction","n.破坏，毁灭，消灭","disˈtrʌk∫ən","",1
"detect","vt.察觉，发觉；侦察","diˈtekt","",1
"devil","n.魔鬼，恶魔","ˈdevl","",1
"devise","vt.设计，发明","diˈvaiz","",1
"dew","n.露，露水","djuː","",1
"dialect","n.方言，土语，地方话","ˈdaiəlekt","",1
"dialog","n.对话，对白","ˈdaiəlɔg","",1
"diameter","n.直径","daiˈæmitə","",1
"diligent","a.勤勉的，勤奋的","ˈdilidʒənt","",1
"directly","ad.直接地；立即","diˈrektli","",1
"disable","vt.使无能，使伤残","disˈeibl","",1
"discard","vt.丢弃，抛弃，遗弃","disˈkɑːd","",1
"discharge","vt.释放；排出 n.释放","disˈt∫ɑːdʒ","",1
"disclose","vt.揭开，揭发；透露","disˈkləuz","",1
"disguise","vi.隐瞒，掩埋 n.假装","disˈgaiz","",1
"disgust","n.厌恶，憎恶","disˈgʌst","",1
"dishonor","n.不光彩；丢脸的人","disˈɔnə","",1
"disorder","n.混乱，杂乱；骚乱","disˈɔːdə","",1
"disposal","n.丢掉，处理，销毁","disˈpəuzəl","",1
"dispose","vi.去掉，丢掉；销毁","disˈpəuz","",1
"displease","vt.使不愉快，使生气","disˈpliːz","",1
"dispute","vi.争论，争执 n.争论","disˈpjuːt","",1
"dissatisfy","vi.使不满，使不平","ˈdisˈsætisfai","",1
"dissolve","vt.使溶解；解散","diˈzɔlv","",1
"distress","n.忧虑，悲伤；不幸","disˈtres","",1
"distribution","n.分发/配；分布","ˌdistriˈbjuː∫ən","",1
"ditch","n.沟，沟渠，渠道","dit∫","",1
"dock","n.船坞；码头；船厂","dɔk","",1
"domestic","a.本国的；家庭的","dəˈmestik","",1
"donkey","n.驴；笨蛋","ˈdɔŋki","",1
"dorm","n.宿舍","dɔːm","",1
"dose","n.剂量，用量；一剂","dəus","",1
"doubtful","a.难以预测的；怀疑的","ˈdautful","",1
"doubtless","ad.无疑地；很可能","ˈdautlis","",1
"drain","vt.排去；放水 n.耗竭","drein","",1
"drama","n.一出戏剧，剧本","ˈdrɑːmə","",1
"dread","n.畏惧；恐怖 vt.惧怕","dred","",1
"drip","vi.滴下；漏水 n.水滴","drip","",1
"dumb","a.哑的；无言的","dʌm","",1
"dump","vt.倾卸，倾倒；倾销","dʌmp","",1
"durable","a.耐久的，耐用的","ˈdjuərəbl","",1
"dwelling","n.住处，寓所","ˈdweliŋ","",1
"dye","vt.染 n.染料；染色","dai","",1
"dying","a.垂死的；临终的","ˈdaiiŋ","",1
"earnest","a.认真的，诚恳的","ˈəːnist","",1
"echo","n.回声，反响 vi.重复","ˈekəu","",1
"economic","a.经济的，经济学的","ˌiːkəˈnɔmik","",1
"economical","a.节约的;经济学的","ˌiːkəˈnɔmikəl","",1
"economy","n.经济；节约，节省","i(ː)ˈkɔnəmi","",1
"elaborate","a.复杂的；精心制作的","iˈlæbərət","",1
"elastic","n.松紧带 a.有弹性的","iˈlæstik","",1
"elbow","n.肘，肘部；弯管","ˈelbəu","",1
"election","n.选举，选择权；当选","iˈlek∫(ə)n","",1
"electronics","n.电子学","ilekˈtrɔniks","",1
"elementary","a.基本的；初级的","ˌeliˈmentəri","",1
"eleventh","num.第十一(个)","iˈlevnθ","",1
"eliminate","vt.消灭，消除，排除","iˈlimineit","",1
"elimination","n.消灭，排除，消除","iˌlimiˈnei∫ən","",1
"elsewhere","ad.在别处，向别处","ˈelsˈweə","",1
"embrace","vt.拥抱；包括；包围","imˈbreis","",1
"emerge","vi.出现，涌现；冒出","iˈməːdʒ","",1
"emit","vt.散发；发射；发表","iˈmit","",1
"emotion","n.情感，感情；激动","iˈməu∫ən","",1
"emotional","a.感情的，情绪的","iˈməu∫ənl","",1
"emphasis","n.强调，重点，重要性","ˈemfəsis","",1
"employer","n.雇佣者，雇主","imˈplɔiə","",1
"employment","n.工业；雇/使用","imˈplɔimənt","",1
"enclose","vt.围住，圈起；附上","inˈkləuz","",1
"endure","vt.忍受；容忍","inˈdjuə","",1
"enforce","vt.实施，执行；强制","inˈfɔːs","",1
"engage","vt.使从事于；聘用","inˈgeidʒ","",1
"engineering","n.工程，工程学","ˌendʒiˈniəriŋ","",1
"Englishman","n.英国男子","ˈiŋgli∫mən","",1
"enormous","a.巨大的，庞大的","iˈnɔːməs","",1
"entertain","vt.使欢乐；招待","ˌentəˈtein","",1
"enthusiasm","n.热情/心，热忱","inˈθjuːziæzəm","",1
"entitle","vt.给…权利(或资格)","inˈtaitl","",1
"equation","n.方程(式)；等式","iˈkwei∫ən","",1
"era","n.时代，年代；纪元","ˈiərə","",1
"erect","vt.建造；使竖立","iˈrekt","",1
"establishment","n.建立,设/确立","isˈtæbli∫mənt","",1
"estimate","vt.估计，评价 n.估计","ˈestimeit","",1
"evaporate","vt.使蒸发 vi.蒸发","iˈvæpəreit","",1
"evil","n.邪恶；祸害 a.坏的","ˈiːvl","",1
"exaggerate","vt.&vi.夸大，夸张","igˈzædʒəreit","",1
"examination","n.考试；检/细查","igˌzæmiˈnei∫ən","",1
"exceed","vt.超过，胜过；超出","ikˈsiːd","",1
"exceedingly","ad.极端地，非常","ikˈsiːdiŋli","",1
"excess","n.超越；过量；过度","ˈekses","",1
"excessive","a.过多的，极度的","ikˈsesiv","",1
"exciting","a.令人兴奋的","ikˈsaitiŋ","",1
"exclaim","vi.呼喊；惊叫","iksˈkleim","",1
"exclude","vt.把…排除在外","iksˈkluːd","",1
"exclusively","ad.专门地","ikˈskluːsivli","",1
"excursion","n.远足；短途旅行","iksˈkəː∫ən","",1
"executive","a.执行的 n.执行者","igˈzekjutiv","",1
"exert","vt.尽(力)，运用","igˈzəːt","",1
"exhaust","vt.使筋疲力尽；用尽","igˈzɔːst","",1
"expansion","n.扩大，扩充；扩张","iksˈpæn∫ən","",1
"experimental","a.实/试验的","ikˈsperiment(ə)l","",1
"exploit","vt.剥削；利用；开拓","iksˈplɔit","",1
"explosion","n.爆炸，爆发，炸裂","iksˈpləuʒən","",1
"explosive","n.炸药 a.爆炸的","iksˈpləusiv","",1
"exposure","n.暴露；揭露；曝光","iksˈpəuʒə","",1
"extent","n.广度；范围；程度","iksˈtent","",1
"exterior","a.外部的；对外的","eksˈtiəriə","",1
"fable","n.寓言；虚构的故事","ˈfeibl","",1
"fabric","n.织物，纺织品；结构","ˈfæbrik","",1
"facility","n.设备；容易；便利","fəˈsiliti","",1
"faculty","n.才能，能力；系，科","ˈfækəlti","",1
"Fahrenheit","n.华氏温度计","ˈfærənhait","",1
"faint","a.微弱的；虚弱的","feint","",1
"faithful","a.忠诚的；如实的","ˈfeiθful","",1
"famine","n.饥荒；严重的缺乏","ˈfæmin","",1
"farewell","int.再会 n.告别","ˈfeəˈwel","",1
"fashion","n.样子，方式；风尚","ˈfæ∫ən","",1
"fashionable","a.流行的，时髦的","ˈfæ∫ənəbl","",1
"fatal","a.致命的；命运的","ˈfeitl","",1
"fate","n.命运，天数","feit","",1
"father-in-law","n.岳父；公公","ˈfɑːðərinlɔː","",1
"fatigue","n.疲劳，劳累","fəˈtiːg","",1
"faulty","a.有错误的，有缺点的","ˈfɔːlti","",1
"favourable","a.有利的；赞成的","ˈfeiərəbl","",1
"fearful","a.害怕的，可怕的","ˈfiəful","",1
"feasible","a.可行的；可能的","ˈfiːzəbl","",1
"feeble","a.虚弱的；微弱的","ˈfiːbl","",1
"fertile","a.肥沃的；多产的","ˈfəːtail","",1
"fertilizer","n.肥料","ˈfəːtiˌlaizə","",1
"finally","ad.最后；不可更改的","ˈfainəli","",1
"finding","n.发现；调查的结果","ˈfaindiŋ","",1
"fireman","n.消防队员；司炉工","ˈfaiəmən","",1
"flare","vi.闪耀 vt.使闪亮","fleə","",1
"flavour","n.味，味道；风味","ˈfleivə","",1
"fleet","n.舰队；船队，机群","fliːt","",1
"flock","n.羊群，群；大量","flɔk","",1
"flourish","vi.繁荣，茂盛，兴旺","ˈflʌri∫","",1
"fluid","n.流体，液体","ˈflu(ː)id","",1
"flush","vi.奔流；(脸)发红","flʌ∫","",1
"footstep","n.脚步；脚步声；足迹","ˈfutstep","",1
"foremost","a.最初的；第一流的","ˈfɔːməust","",1
"formation","n.形成；构成；形成物","fɔːˈmei∫ən","",1
"fortunately","ad.幸运地，幸亏","ˈfɔːt∫ənətli","",1
"fraction","n.小部分；片断；分数","ˈfræk∫ən","",1
"fragment","n.碎片，破片，碎块","ˈfrægmənt","",1
"frame","n.框架，框子；构架","freim","",1
"frank","a.坦白的，直率的","fræŋk","",1
"freely","ad.自由地；直率地","ˈfriːli","",1
"freight","n.货运；货物；运费","freit","",1
"frequency","n.屡次；次数；频率","ˈfriːkwənsi","",1
"frequently","ad.时常，常常","ˈfriːkwənt","",1
"frown","vi.皱眉，蹙额","fraun","",1
"fruitful","a.多产的；肥沃的","ˈfruːtful","",1
"fulfil","vt.履行；满足；完成","fulˈfil","",1
"fund","n.资金；基金；存款","fʌnd","",1
"furious","a.狂怒的；狂暴的","ˈfjuəriəs","",1
"furnace","n.炉子，熔炉；鼓风炉","ˈfəːnis","",1
"furnish","vt.供应，提供；装备","ˈfəːni∫","",1
"gang","n.一帮，一伙","gæŋ","",1
"gardener","n.园丁，花匠","ˈgɑːdnə(r)","",1
"gaseous","a.气体的，气态的","ˈgæsiəs","",1
"gasoline","n.(美)汽油","ˈgæsəliːn","",1
"gasp","vi.气喘，喘息","gɑːsp","",1
"gauge","vt.量，测量 n.量器","gedʒ","",1
"gaze","vi.凝视，盯，注视","geiz","",1
"generally","ad.一般地；通常地","ˈdʒenərəli","",1
"genius","n.天才，天赋，天资","ˈdʒiːnjəs","",1
"gently","ad.有礼貌地；柔和地","ˈdʒentli","",1
"genuine","a.真的；真正的","ˈdʒenjuin","",1
"germ","n.微生物，细菌，幼芽","dʒəːm","",1
"ghost","n.鬼，灵魂；鬼魂","gəust","",1
"giant","n.巨人；巨物","ˈdʒaiənt","",1
"glide","vi.滑动；消逝 n.滑行","glaid","",1
"glimpse","vt.瞥见 n.一瞥，一看","glimps","",1
"glitter","vi.闪闪发光 n.闪光","ˈglitə","",1
"gloomy","a.黑暗的；令人沮丧的","ˈgluːmi","",1
"glorious","a.光荣的；壮丽的","ˈglɔːriəs","",1
"glow","n.白热光 vi.发白热光","gləu","",1
"goodbye","int.再见，再会","ˌgudˈbai","",1
"governor","n.州长；主管人员","ˈgʌvənə","",1
"grace","n.优美，文雅；雅致","greis","",1
"gracious","a.有礼貌的；仁慈的","ˈgrei∫əs","",1
"gradual","a.逐渐的；渐进的","ˈgrædjuəl","",1
"gramme","n.克(重量单位)","græm","",1
"grammatical","a.语法上的","grəˈmætikəl","",1
"grandfather","n.祖父；外祖父","ˈgrændˌfɑːðə","",1
"grandmother","n.祖母，外祖母","ˈgrændˌmʌðə","",1
"gratitude","a.感激，感谢，感恩","ˈgrætitjuːd","",1
"grave","n.坟墓 a.严重的","greiv","",1
"gray","a.灰色的 n.灰色","grei","",1
"greatly","ad.大大地，非常","ˈgreitli","",1
"greenhouse","n.温室，玻璃暖房","ˈgriːnhaus","",1
"grieve","vt.使悲痛 vi.悲痛","griːv","",1
"grind","vt.磨(碎)；磨快","graind","",1
"grip","vt.握紧，抓牢 n.紧握","grip","",1
"groan","vi.哼，呻吟 n.呻吟","grəun","",1
"grocery","n.食品杂货店","ˈgrəusəri","",1
"gross","a.总的；严重的","grəus","",1
"gulf","n.海湾","gʌlf","",1
"gum","n.口香糖；树胶","gʌm","",1
"gunpowder","n.黑色火药；有烟火药","ˈgʌnpaudə(r)","",1
"gymnasium","n.体育馆，健身房","dʒimˈneiziəm","",1
"habitual","a.习惯性的，惯常的","həˈbitjuəl","",1
"halt","vi.停止；立定 n.停住","hɔːlt","",1
"harden","vt.使变硬 vi.变硬","ˈhɑːdn","",1
"hardware","n.五金器具；硬件","ˈhɑːdweə","",1
"hare","n.野兔","heə","",1
"harness","vt.治理 n.马具，挽具","ˈhɑːnis","",1
"harsh","a.严厉的；刺耳的","hɑː∫","",1
"haste","n.急速，急忙；草率","heist","",1
"hasten","vt.催促 vi.赶紧","ˈheisn","",1
"hasty","a.急速的；仓促的","ˈheisti","",1
"hateful","a.可恨的，可恶的","ˈheitful","",1
"hatred","n.憎恶，憎恨，仇恨","ˈheitrid","",1
"hazard","n.危险；公害","ˈhæzəd","",1
"heading","n.标题，题词，题名","ˈhediŋ","",1
"headquarters","n.司令部；总部","ˈhedˌkwɔːtəz","",1
"heal","vt.治愈；使和解","hiːl","",1
"heating","n.加热，供暖","ˈhiːtiŋ","",1
"hedge","n.篱笆，树篱；障碍物","hedʒ","",1
"heir","n.后嗣，继承人","eə","",1
"hell","n.地狱；极大的痛苦","hel","",1
"helpless","a.无助的；无能的","ˈhelplis","",1
"hence","ad.因此，所以；今后","hens","",1
"herd","n.兽群，牧群 vt.放牧","həːd","",1
"heroic","a.英雄的；英勇的","hiˈrəuik","",1
"hesitate","vi.犹豫，踌躇；含糊","ˈheziteit","",1
"highly","ad.高度地，很，非常","ˈhaili","",1
"historical","a.历史的，有关历史的","hisˈtɔrikəl","",1
"hollow","a.空的；空洞的","ˈhɔləu","",1
"honesty","n.诚实，正直","ˈɔnisti","",1
"honeymoon","n.蜜月","ˈhʌnimuːn","",1
"honourable","a.诚实的；光荣的","ˈɔnərəbl","",1
"horizon","n.地平线；眼界，见识","həˈraizn","",1
"horizontal","a.地平的；水平的","ˌhɔriˈzɔntl","",1
"horn","n.号角；警报器；角","hɔːn","",1
"horror","n.恐怖；战栗；憎恶","ˈhɔrə","",1
"horsepower","n.马力","ˈhɔːsˌpauə","",1
"hostile","a.敌方的；不友善的","ˈhɔstail","",1
"household","n.家庭，户；家务","ˈhaushəuld","",1
"humble","a.谦逊的；地位低下的","ˈhʌmbl","",1
"humid","a.湿的，湿气重的","ˈhjuːmid","",1
"hut","n.小屋，棚屋","hʌt","",1
"identical","a.完全相同的；同一的","aiˈdentikəl","",1
"idle","a.空闲的；懒散的","ˈaidl","",1
"ignorant","a.不知道的；无知的","ˈignərənt","",1
"illustration","n.说明，图解；例证","ˌiləsˈtrei∫ən","",1
"imaginary","a.想象中的，假想的","iˈmædʒinəri","",1
"imagination","n.想象(力)；空想","iˌmædʒiˈnei∫ən","",1
"imitate","vt.模仿，仿效；仿制","ˈimiteit","",1
"immense","a.巨大的；极好的","iˈmens","",1
"immigrant","n.移民 a.移民的","ˈimigrənt","",1
"impatient","a.不耐烦的，急躁的","imˈpei∫ənt","",1
"implication","n.含义，暗示，暗指","ˌimpliˈkei∫ən","",1
"imply","vt.暗示，意指","imˈplai","",1
"impose","vt.把…强加；征(税)","imˈpəuz","",1
"impressive","a.给人印象深刻的","imˈpresiv","",1
"imprison","vt.关押，监禁；限制","imˈprizn","",1
"incline","n.斜坡 vt.使倾斜","inˈklain","",1
"increasingly","ad.日益，越来越多地","inˈkriːsiŋli","",1
"indefinite","a.不明确的；不定的","inˈdefinit","",1
