word,meaning,phonetic,example,hit
"buck","n. 雄鹿，雄兔  adj. 雄的","bʌk","",1
"bug","n. 1. 小虫 2. 病菌 3. 窃听器 4. (电脑等的)故障 v. 1. 装窃听器 2. 不断地烦扰，纠缠","bʌɡ","",1
"bulletin","n. 公报，公告","ˈbʊlətɪn","",1
"bully","v. 欺侮，强迫… (做某事) n. 恃强凌弱的人","ˈbʊlɪ","",1
"bump","v. 1. 碰撞 2. 撞击 3. 颠簸地行驶 n. 1. 碰撞 2. 肿块","bʌmp","",1
"bureaucracy","n. 1. 官僚制度，官僚体制 2. 官僚作风","bjʊəˈrɒkrəsɪ","",1
"buzz","n. 1. 嗡嗡声 2. 嘈杂声 v. 1. 发出嗡嗡声 2. 发出嘈杂声","bʌz","",1
"bypass","n. (绕过市镇的)旁道，迂回道  v. 绕过，回避","ˈbaɪpɑːs","",1
"calcium","n. 钙","ˈkælsɪəm","",1
"calorie","n. (热量单位)卡路里","ˈkælərɪ","",1
"cane","n. 1. 细长而有节的茎 2. 手杖","keɪn","",1
"canon","n. 1. 教会法规 2. (行为或思想的)规范; 准则 3. (任职大教堂的)教士","ˈkænən","",1
"casualty","n. 意外或战争中的伤亡者","ˈkæʒjʊəltɪ","",1
"cavity","n. 洞，穴","ˈkævətɪ","",1
"cemetery","n. 墓地，公墓","ˈsemɪtrɪ","",1
"census","n. 人口调查，人口普查","ˈsensəs","",1
"ceramic","n. 制陶业，陶器，陶瓷工艺","sɪˈræmɪk","",1
"cereal","n. 谷类食物，谷物","ˈsɪərɪəl","",1
"certify","v. 证明，证实","ˈsɜːtɪfaɪ","",1
"champagne","n. 香槟酒","ʃæmˈpeɪn","",1
"chapel","n. (基督教)小教堂","ˈtʃæpəl","",1
"characterize","v. 描绘……的特性，刻划……的性格","ˈkærәktәraiz","",1
"cherish","v. 1. 珍爱 2. 抱有(希望)，怀有(感情)","ˈtʃerɪʃ","",1
"chip","n. 碎片，薄片","tʃɪp","",1
"cholesterol","n. 胆固醇","kəˈlestərɒl","",1
"chord","n. 1. 和弦，和音 2. (几何的)弦","kɔːd","",1
"chronic","adj. 1. (病症)长期未愈的，慢性的 2. 极坏的，极差的","ˈkrɒnɪk","",1
"circulation","n. 1. 循环 2. 流通，流传 3. (报纸、书刊的)销售量","ˌsɜːkjʊˈleɪʃən","",1
"clamp","n. 钳，夹子 v. 钳紧，夹住","klæmp","",1
"clan","n. 氏族，家族，宗派","klæn","",1
"clash","v. 1. 冲突，交锋，产生矛盾 2. 发出金属的撞击声  n. 冲突，不一致","klæʃ","",1
"clearance","n. 1. 清除，清理 2. 许可(证)，批准 || a clearance sale (商店)清仓大贱卖","ˈklɪərəns","",1
"climax","n. 1. 顶点，极点 2. (小说、戏剧等的)高潮 3. 性交的高潮 v. (使)达到顶点，达到高潮","ˈklaimæks","",1
"cling","v. 1. 粘住，缠住  2. 依附，依靠 3. 紧紧握住，紧紧抱住","klɪŋ","",1
"clockwise","adv. 顺时针方向地","ˈklɒkwaɪz","",1
"closet","n. 1. 橱柜  2. 私室，小房间 3. 盥洗室，厕所","ˈklɒzɪt","",1
"cluster","n. 一串，一束，一簇，一群，一组  v. 使成群，把…集成一束(一组)，群集，丛生","ˈklʌstə","",1
"clutch","v. 抓住，攫住  n. 1. (pl)爪子，毒手，控制 2. (一把)抓住，攫住","klʌtʃ","",1
"coalition","n. 政党的联盟，联合","ˌkəʊəˈlɪʃən","",1
"cocaine","n. 可卡因","kəʊˈkeɪn","",1
"cocktail","n. 1. 鸡尾酒 2. 开胃食品 adj. 鸡尾酒的 || cocktail party鸡尾酒会","ˈkɒkteɪl","",1
"coincide","v. 1. 同时发生 2. 一致，不谋而合","ˌkəʊɪnˈsaɪd","",1
"collide","v. 1. (车、船等)猛撞 2. 冲突","kəˈlaɪd","",1
"colonial","adj. 1. 殖民地的，关于殖民地的 2. (cap)(美国独立前)十三州时代的，美国初期的 3. 拥有殖民地的","kəˈləʊnɪəl","",1
"combat","n. 1. 战斗，格斗，反对 2. 竞争 v. 跟…战斗，反对","ˈkɒmbæt","",1
"comic","adj. 滑稽的，喜剧化的  || comic strip连环漫画","ˈkɒmɪk","",1
"commemorate","v. 庆祝，纪念","kəˈmeməreɪt","",1
"commence","v. 开始","kəˈmens","",1
"commend","v. 1称赞，赞扬 2. 委托，托付","kəˈmend","",1
"commentary","n. 1. (对书籍等的)评语，评注，评论 2. 实况报道","ˈkɒməntrɪ","",1
"commodity","n. 商品，日用品","kəˈmɒdətɪ","",1
"commonplace","adj. 平凡的，常见的","ˈkɒmənpleɪs","",1
"commonwealth","n. 1. 全体国民 2. 国家，共和国 3. 联邦","ˈkɒmənwelθ","",1
"commute","v. 1. 定时往返两地 2. 减轻(刑罚) 3. 用…交换，改变(付款)方式","kəˈmjuːt","",1
"compact","adj. 1. 紧密的，结实的 2. (文体)简洁的，紧凑的","kəmˈpækt","",1
"comparable","adj. 类似的，可相比的","ˈkɒmpərəbl","",1
"compartment","n. 间隔(如火车车厢里的小房间)","kəmˈpɑːtmənt","",1
"compatible","adj. 可和谐共处的，相容的，兼容的","kəmˈpætəbl","",1
"competitive","adj. 1. 竞争性的，  竞争的，有竞争力的 2. 比赛的","kəmˈpetətɪv","",1
"complexion","n. 1. 肤色，气色，面色 2. 外观，形势","kəmˈplekʃən","",1
"complication","n. 1. 复杂情况 2. 并发症","ˌkɒmpliˈkeiʃәn","",1
"compliment","n. 恭维，称赞 v. 称赞","ˈkɒmplɪmənt","",1
"comply","v. 同意，遵从，依从，应允","kəmˈplaɪ","",1
"composite","adj. 混合成的，综合成的 n. 合成物，复合材料","ˈkɒmpəzɪt","",1
"concede","v. 1. (常指勉强地)承认 2. 容许，让与","kənˈsiːd","",1
"conceive","v. 1. 设想，想出，想象 2. 怀(胎)，怀孕","kənˈsiːv","",1
"conception","n. 1. 概念，观念，理解 2. 构想，看法 3. 受孕，妊娠","kənˈsepʃən","",1
"confer","v. 1. 商讨 2. 授予，颁赠(勋衔、学位等)","kənˈfɜː","",1
"conform","v. (使)一致，(使)符合，(使)遵照，(使)适应","kənˈfɔːm","",1
"conscientious","adj. 审慎正直的，认真的，本着良心的","ˌkɒnʃɪˈenʃəs","",1
"consecutive","adj. 连续的，接续的","kənˈsekjʊtɪv","",1
"conserve","v. 节约使用，保存","kənˈsɜːv","",1
"consolidate","v. 1. 巩固，加强 2. 综合，统一，合并","kənˈsɒlɪdeɪt","",1
"conspicuous","adj. 显著的，引人注目的","kənˈspɪkjʊəs","",1
"constituent","n. 1. 选民，选举人 2. 成分，要素 adj. 组成的，形成的","kənˈstɪtjʊənt","",1
"constrain","v. 强迫，强制","kənˈstreɪn","",1
"consumer","n. 消费者","kənˈsjuːmə","",1
"contaminate","v. 污染，玷污，弄脏","kənˈtæmɪneɪt","",1
"contemplate","v. 1. 沉思，仔细考虑，意欲 2. 注视，凝视","ˈkɒntempleɪt","",1
"contend","v. 1. 搏斗，争斗 2. 争，竞争 3. 声称，主张","kənˈtend","",1
"contention","n. 1. 争论，争辩，论战 2. 论点，主张","kənˈtenʃən","",1
"contrive","v. 发明， 设计，设法做到","kənˈtraɪv","",1
"controversy","n. 争论，辩论","ˈkɒntrəvɜːsɪ, kənˈtrɒvəsɪ","",1
"convene","v. 召集会议","kənˈviːn","",1
"converge","v. 聚集， 集中一点，汇合","kənˈvɜːdʒ","",1
"convict","v. 证明、宣判…有罪，定罪 n. 被判入狱的罪犯","kənˈvɪkt","",1
"cooperative","n. 合作社，合作商店(企业等) adj. 1. 合作的，协作的 2. 有合作意向的，乐意合作的","kəʊˈɒpərətɪv","",1
"cork","n. 软木，软木塞","kɔːk","",1
"corporate","adj. 1. 团体的，全体的 2. 公司的","ˈkɔːpərət","",1
"corps","n. 1. 特种部队，军团 2. 共同工作、活动的一群人","kɔː","",1
"corpse","n. 尸体","kɔːps","",1
"correlate","n. 有相互关系的东西，相关物 v. 使有相互关系，互相有关系","ˈkɒrəleɪt","",1
"corrode","v. (使)腐蚀，侵蚀","kəˈrəʊd","",1
"costume","n. 服装，剧装，戏服","ˈkɒstjuːm","",1
"counsel","n. 1. 辩护律师 2. (专业)意见，忠告，劝告 v. 劝告，提供意见","ˈkaʊnsəl","",1
"counterpart","n. 相对应的人(物)","ˈkaʊntəpɑːt","",1
"coupon","n. 优惠券，赠券，票证","ˈkuːpɒn","",1
"cozy","a. 舒适的，安逸的，惬意的 v. 取悦，献殷勤","ˈkәuzi","",1
"cradle","n. 1. 摇篮  2. 策源地，发源地","ˈkreɪdl","",1
"credible","adj. 可信的，可靠的","ˈkredəbl","",1
"crisp","adj. 1. 脆的，硬而易碎的 2. 清新的，爽快的 3. 干脆明确的(态度等)","krɪsp","",1
"crumble","v. 1. 弄碎，粉碎 2. 崩溃，瓦解","ˈkrʌmbl","",1
"culminate","v. 达到顶点(高潮)，以…告终 || culminate in达到…高峰，终于","ˈkʌlmɪneɪt","",1
"cumulative","adj. 累积的，渐增的","ˈkjuːmjʊlətɪv","",1
"curb","n. 1. 勒马的链条(皮带) 2. 控制，约束，抑制  v. 1. 给(马)装上勒马链，勒住(马) 2. 控制，约束，抑制","kɜːb","",1
"customary","adj. 习惯的，惯例的，通常的","ˈkʌstəmərɪ","",1
"cylinder","n. 1. 圆筒，圆柱体 2. 汽缸 3. (印刷机)滚筒 4. (左轮手枪的)旋转枪膛 5. 圆柱体体积","ˈsɪlɪndə","",1
"cynical","adj. 愤世嫉俗的，(对人性或动机)怀疑的","ˈsɪnɪkəl","",1
"dart","n. 飞镖 v. 猛冲，投掷，发射","dɑːt","",1
"dazzle","v. 1. 使眼花，耀眼 2. 使惊奇，使倾倒 n. 闪耀，耀眼","ˈdæzl","",1
"dean","n. 1. 教务长 2. (大学的)学院院长，系主任 v. 担任教务长(院长、系主任等)","diːn","",1
"decimal","n. 小数，十进小数 adj. 小数的，十进位的","ˈdesɪml","",1
"decisive","adj. 1. 坚决的，果断的，有决定作用的 2. 确定的，明确的","dɪˈsaɪsɪv","",1
"decree","n. 命令，法令，判决 v. 命令，颁布命令，判定","dɪˈkriː","",1
"deduct","v. 扣除，减去","dɪˈdʌkt","",1
"deem","v. 认为，相信，视为","diːm","",1
"defendant","n. 被告","dɪˈfendənt","",1
"defiance","n. 违抗，蔑视，挑战","dɪˈfaɪəns","",1
"deficiency","n. 1. 缺乏，短缺 2. 缺点，毛病","dɪˈfɪʃənsɪ","",1
"deficit","n. 赤字，亏损","ˈdefɪsɪt","",1
"definitive","adj. 1. 确定的，有权威的，不能(不必)改变的 2. 决定性的","dɪˈfɪnətɪv","",1
"defy","v. 1. 违抗，蔑视 2. 激(某人)做","dɪˈfaɪ","",1
"degenerate","adj. 退步的，退化的，堕落的 n. 堕落者，腐化者 [dɪˈdʒenəreɪt] v. 退化，衰败，堕落","dɪˈdʒenərət","",1
"degrade","v. 1. 使降级，降低，2. 有辱…的人格，使丢脸","dɪˈɡreɪd","",1
"denial","n. 否认，拒绝，抛弃","dɪˈnaɪəl","",1
"denote","v. 指示，表示，意思是","dɪˈnəʊt","",1
"denounce","v. 指责，痛斥，告发","dɪˈnaʊns","",1
"depict","v. (用图画、文字)表示，描述，描绘","dɪˈpɪkt","",1
"deport","v. 把(外国人)驱逐出境","dɪˈpɔːt","",1
"depression","n. 1. 沮丧，抑郁，萧条(期)  2. 凹地，洼地，低压(地区)","dɪˈpreʃən","",1
"deprive","v. 剥夺，使丧失，使不能做 deprivation","dɪˈpraɪv","",1
"descendant","n. 后裔，子孙 adj. 下降的，派生的，(从祖先)传下的","dɪˈsendənt","",1
"descent","n. 1. 下降，下来 2. 下倾，斜坡 3. 血统，世袭，遗传 4. 袭击，突然的访问","dɪˈsent","",1
"designate","v. 1·标出，指明，称呼 2. 指派，任命  adj. 已受委派(当选)而尚未就职的，候任的","ˈdezɪɡneɪt","",1
"destined","adj. 命中注定的，预定的","ˈdestɪnd","",1
"destiny","n. 命运，天命","ˈdestɪnɪ","",1
"destructive","adj. 破坏(性)的，毁灭(性)的，非建设性的","dɪˈstrʌktɪv","",1
"detach","v. 拆卸，使分离，派遣","dɪˈtætʃ","",1
"detain","v. 拘留，扣押，耽搁","dɪˈteɪn","",1
"deteriorate","v. 恶化，(使)变坏，退化","dɪˈtɪərɪəreɪt","",1
"deviate","v. 背离，偏离，越(轨)","ˈdiːvɪeɪt","",1
"diagnose","v. 诊断(疾病)，判断，调查分析(问题等的)原因(性质)","ˈdaɪəɡnəʊz","",1
"differentiate","v. 区分，(使)不同，构成…间的差别","ˌdɪfəˈrenʃɪeɪt","",1
"diffuse","v. 1. 扩散，(使)四散，弥漫 2. 传播，散步 adj. 1. 弥漫的，四散的 2. (文章等)冗长的","dɪˈfjuːz","",1
"dilute","v. 1. 稀释，冲淡 2. 削弱，减轻 adj. 经稀释的，淡的，减弱了的","daɪˈljuːt","",1
"diminish","v. 1. 减少，(使)减小，降低 2. 贬低，使降级，削弱","dɪˈmɪnɪʃ","",1
"diplomat","n. 外交家，外交官","ˈdɪpləmæt","",1
"disastrous","adj. 灾难性的，极不幸的，极坏的","dɪˈzɑːstrəs","",1
"discern","v. 看出，了解，识别","dɪˈsɜːn","",1
"discreet","adj. (言行)谨慎的，慎重的，不显眼的","dɪˈskriːt","",1
"discrepancy","n. 差异，不符合","dɪˈskrepənsɪ","",1
"discrete","adj. 个别的，分离的，不连续的","dɪˈskriːt","",1
"discriminate","v. 区别，辨别，有差别的对待  adj. 有区别的，有差别的，有识别力的","dɪˈskrɪmɪneɪt","",1
"dismay","v. (使)惊恐，使沮丧，使绝望","dɪsˈmeɪ","",1
"disperse","v. (使)分散，驱散，疏散","dɪˈspɜːs","",1
"displace","v. 1. 移置，使脱离正常位置 2. 替代","dɪsˈpleɪs","",1
"disposition","n. 性格，性情","ˌdɪspəˈzɪʃən","",1
"disregard","v. &n. 不理会，不顾，忽视","ˌdɪsrɪˈɡɑːd","",1
"disrupt","v. 扰乱，破坏","dɪsˈrʌpt","",1
"dissipate","v. 1. 散失，驱散 2. 浪费 3. 放荡","ˈdisipeit","",1
"distill","v. 1. 蒸馏 2. 提炼","disˈtil","",1
"distort","v. 1. 扭曲，使变形 2. 歪曲，曲解 3. 使(声音、信号等)失真","dɪˈstɔːt","",1
"distract","v. 1. 转移(注意力)，使分心 2. 使转变，使转向 3. 使困惑，使混乱","dɪˈstrækt","",1
"disturbance","n. 1. 打扰，妨碍 2. 心神不安，烦恼 3. 混乱，骚乱","dɪˈstɜːbəns","",1
"diversion","n. 1. 转移，转向，偏离 2. 消遣，娱乐","daɪˈvɜːʃən","",1
"divert","v. 1. 使转向，使(河流等)改道，转移…的注意力 2. 使得到消遣，给…娱乐 3. 盗用，贪污","daɪˈvɜːt","",1
"divine","adj. 1. 神的，上帝的，神圣的 2. 非凡的，极好的","dɪˈvaɪn","",1
"doctrine","n. 1. 信条，教条，主义 2. 学说，原理，教诲","ˈdɒktrɪn","",1
"dodge","v. 1. 躲开，闪开 2. 躲避，施计逃避义务(责任等) n. 1. 躲闪，躲避 2. 妙计，伎俩","dɒdʒ","",1
"dolphin","n. 海豚","ˈdɒlfɪn","",1
"dome","n. 圆屋顶，苍弯，半球形物","dəʊm","",1
"dominant","adj. 1. 占优势的，支配的，显著的 2. 占首位的，主要的 3. 居高临下的，高耸的","ˈdɒmɪnənt","",1
"donate","v. 捐赠，赠送","dəʊˈneɪt","",1
"donation","n. 捐赠，赠品，捐款","dəʊˈneɪʃən","",1
"doom","n. 1. 命运，厄运，毁灭 2. 判决，定罪 v. 1. 注定，命定，使…的失败(毁灭等)成为必然 2. 判定，判决","duːm","",1
"drainage","n. 排水系统","ˈdreɪnɪdʒ","",1
"drastic","adj. 激烈的，猛烈的","ˈdræstɪk","",1
"dreadful","adj. 1. 可怕的，令人敬畏的 2. 厉害的，讨厌的，极端的","ˈdredfʊl","",1
"dual","adj. 双的，双重的","ˈdjuːəl","",1
"dub","v. 1. 起绰号 2. (为影片)配音","dʌb","",1
"dubious","adj. 怀疑的，可疑的，令人怀疑的","ˈdjuːbɪəs","",1
"dwarf","n. 矮子，矮小的人(动物、植物) v. 使矮小(显得渺小)，使相形见续出","dwɔːf","",1
"dwell","v. 居住，生活于，栖息 || dwell on ①老想着，详述，长谈②凝视，持续","dwel","",1
"eccentric","adj. 古怪的，异常的 n. 古怪的人","ɪkˈsentrɪk","",1
"eclipse","n. 日蚀，月蚀 v. 1. 遮住(天体)的光 2. 使黯然失色，使相形见绌","ɪˈklɪps","",1
"edible","adj. 可以吃的，适合吃的","ˈedɪbl","",1
"ego","n. 自我，自负","ˈiːɡəʊ","",1
"eject","v. 1. 驱逐，逐出 2. 喷出，投出，弹出","ɪˈdʒekt","",1
"elapse","n. & v. (时间)过去，消逝","ɪˈlæps","",1
"electrician","n. 电器技师，电工，电气专家","ɪˌlekˈtrɪʃən","",1
"elicit","v. 诱出，探出(事实、反应等)","ɪˈlɪsɪt","",1
"eligible","adj. 有资格的，合适的，合格的","ˈelɪdʒəbl","",1
"elite","n. 精华，精英，中坚","eɪˈliːt","",1
"eloquent","adj. 1. 雄辩的，有说服力的，口才好的 2. 意味深长的，明白显示出的","ˈeləkwənt","",1
"embark","v. 1. (使)上船(飞机等) 2. 从事，着手，发动","ɪmˈbɑːk","",1
"embody","v. 体现，使具体化","ɪmˈbɒdɪ","",1
"empirical","adj. 以实验为根据的，非理论的","ɪmˈpɪrɪkəl","",1
"enclosure","n. 1. 围栏，围墙，圈占地 2. (信函内的)附件，装入物 3. 包围，围住","ɪnˈkləʊʒə","",1
"endeavor","n. 努力，尝试 v. 努力，尽力","inˈdevә","",1
"endow","v. 1. 赋予，授予 2. 资助，捐赠  || be endowed with天生具有…，有…的天赋","ɪnˈdaʊ","",1
"endurance","n. 忍耐，耐力，持久力","ɪnˈdjʊərəns","",1
"engagement","n. 1. 约会，约定 2. 订婚，婚约","ɪnˈɡeɪdʒmənt","",1
"enlighten","v. 1. 启发，开导，使摆脱偏见(迷信) 2. 指导，教育","ɪnˈlaɪtən","",1
"enrich","v. 使富足，使丰富，充实","ɪnˈrɪtʃ","",1
"enroll","v. 登记，使加入，注册","inˈrәul","",1
"ensue","v. 接着发生，随之而来","ɪnˈsjuː","",1
"entail","v. 使成为必要，需要","ɪnˈteɪl","",1
"entrepreneur","n. 企业家，创业者","ˌɒntrəprəˈnɜː","",1
"envisage","v. 1. 想象，设想 2. 正视，面对","ɪnˈvɪzɪdʒ","",1
"equator","n. 赤道  equatorial","ɪˈkweɪtə","",1
"erosion","n. 侵蚀，腐蚀","ɪˈrəʊʒən","",1
"erroneous","adj. 错误的","ɪˈrəʊnɪəs","",1
"escort","n. 护卫队，护送者，陪伴 v. 护送，护卫，护航","ˈeskɔːt","",1
"esthetic","a. 审美的，感觉的","esˈθetik","",1
"eternal","adj. 永远(不变)的，永恒的","ɪˈtɜːnəl","",1
"ethnic","adj. 种族的，部族的，少数民族的","ˈeθnɪk","",1
"evoke","v. 引起，唤起，引发","ɪˈvəʊk","",1
"exceptional","adj. 1. 异常的，独特的，例外的 2. 优越的，杰出的","ɪkˈsepʃənəl","",1
"exclusive","adj. 1. 除外的，排外的 2. 专有的，独占的，惟一的","ɪkˈskluːsɪv","",1
"exemplify","v. 是…的榜样，举例说明","ɪɡˈzemplɪfaɪ","",1
"exempt","adj. 被免除义务(责任)的，被赦免的  v. 免除，赦免","ɪɡˈzempt","",1
"exile","v. 流放，放逐，流亡 n. 1. 流放，放逐 2. 亡命者，流放者","ˈeksaɪl, ˈeɡzaɪl","",1
"exotic","adj. 珍奇的，奇异的，外国产的","ɪɡˈzɒtɪk","",1
"expedition","n. 1. 探险，远征 2. 远征军，探险队","ˌekspɪˈdɪʃən","",1
"expel","v. 驱逐，开除，排出(气等)","ɪkˈspel","",1
"expend","v. 花费，用光","ɪkˈspend","",1
"expenditure","n. 1. 经费，费用 2. 支出，消耗，花费","ɪkˈspendɪtʃə","",1
"expire","v. 1. 期满，终止 2. 死亡 3. 呼出，吐气","ɪkˈspaɪə","",1
"exposition","n. 1. 解释，讲解，说明 2. 展出，展览会","ˌekspəˈzɪʃən","",1
"exquisite","adj. 精美的，精致的，精湛的","ˈekskwɪzɪt","",1
"extinct","adj. 1. 灭绝的，绝种的 2. (火山)死的，熄灭的 3. 消亡的，破灭的","ɪkˈstɪŋkt","",1
"extinguish","v. 1. 熄灭，扑灭 2. 破灭，幻灭，使消亡 3. 压制，压抑","ɪkˈstɪŋɡwɪʃ","",1
"extravagant","adj. 1. 浪费的，奢侈的 2. 过度的，放肆的","ɪkˈstrævəɡənt","",1
"fabricate","v. 捏造，编造，虚构","ˈfæbrɪkeɪt","",1
"facet","n. 1. (宝石等的)琢面 2. (事物等的)一面，方面","ˈfæsɪt","",1
"fake","n. 假货，赝品，骗人诡计 adj. 假的，冒充的 v. 伪造，假装，捏造","feɪk","",1
"fantastic","adj. 1. 极好的，美妙的 2. 不切实际的，异想天开的，古怪的","fænˈtæstɪk","",1
"fascinate","v. 迷住，使神魂颠倒，强烈地吸引","ˈfæsɪneɪt","",1
"federation","n. 联盟，联邦，同盟","ˌfedəˈreɪʃən","",1
"fellowship","n. 1. 团体，协会 2. 友谊，交情 3. 学院董事(研究员)的职位","ˈfeləʊʃɪp","",1
"feminine","adj. 女性的，适于女子的，阴性的","ˈfemənɪn","",1
