word,meaning,phonetic,example,hit
"height","n. 高，高度","hait","",1
"gather","v. 聚集；采集","'gæðә","",1
"paragraph","n. （文章的）段落","'pærәgrɑ:f","",1
"topic","n. 题目，话题","'tɒpik","",1
"adjust","v.调整,调节,适应,习惯","ә'dʒʌst","",1
"master","vt. 精通，掌握","'mɑ:stә. 'mæstә","",1
"diverse","v. 不同的，多种多样，形形色色的","dai'vә:s","",1
"stream","n. 小河；溪流","stri:m","",1
"capable","有能力的","'keipәbl","",1
"drive","v. 驾驶，开（车）；驱赶","draiv","",1
"title","n. 标题，题目","'taitl","",1
"correspond","vi. 一致；与……相当；(与人)通信，有书信往来",".kɒri'spɒnd","",1
"modem","n. 调制解调器","'mәudem","",1
"operator","n. 接线员","'ɒpәreitә","",1
"outcome","n. 结果，效果","'autkʌm","",1
"power","n. 力，动力，电力","'pauә","",1
"publicly","adv. 当众；公开地","'pʌblikli","",1
"smart","adj. 灵巧的，伶俐的；（人、服装等）时髦的，帅的","smɑ:t","",1
"spear","n. 矛，枪，梭镖","spiә","",1
"t","he butterfly 蝶泳","ti:","",1
"convey","v. 表达，传递（思想，感情等）","kәn'vei","",1
"coordinate","协调","kәu'ɒ:dineit","",1
"transform","v.使改变形态,使改观","træns'fɒ:m","",1
"connection","n.连接物;接触,联系","kә'nekʃәn","",1
"determine","vt. 决定；决心","di'tә:min","",1
"purpose","n. 目的，意图","'pә:pәs","",1
"consistent","adj. 一致的，始终如一的，连续的","kәn'sistәnt","",1
"inform","vt. 告诉； 通知","in'fɒ:m","",1
"theme","n. 主题","θi:m","",1
"unique","adj. 惟一的,独一无二的","ju:'ni:k","",1
"wing","n. 机翼，翅膀","wiŋ","",1
"expression","n. 表达；词句；表示，说法；表情","ik'spreʃәn","",1
"range","n&v. 变化，变动，排序","'reindʒ","",1
"stable","adj. 稳固的，牢固的","'steibl","",1
"surface","n. 表面","'sә:fis","",1
"trust","vt. 相信，信任，信赖","trʌst","",1
"reduce","vt. 减少，缩减","ri'dju:s","",1
"f","n. 女(的)；雌(的)； 英尺","ef","",1
"properly","adv. 适当地","'prɒpәli","",1
"relationship","n. 关系","ri'leiʃәnʃip","",1
"flash","n. 闪；闪光； 转瞬间","flæʃ","",1
"vase","n. （花）瓶；瓶饰","veis","",1
"classify","v. 分类，归类","'klæsifai","",1
"contribution","n. 贡献",".kɒntri'bju:ʃәn","",1
"enterprise","n.公司，企，事业单位","'entәpraiz","",1
"medium","n.媒体,中间的,中等的","'mi:diәm","",1
"maid","n. 女仆；侍女","meid","",1
"storage","n. 贮藏； 储存","'stɒ:ridʒ","",1
"ground","n. 地面","graund","",1
"hook","n.& v. 钩子；衔接，连接","huk","",1
"recorder","n. 录音机","ri'kɒ:dә","",1
"remote","adj. 偏远的，偏僻的","ri'mәut","",1
"risk","n&v. 危险，风险，冒险","risk","",1
"budget","n. 预算","'bʌdʒit","",1
"commit","v.犯（罪，错），自杀","kә'mit","",1
"explore","v. 探险","ik'splɒ:","",1
"explorer","n. 探险者","ik'splɒ:rә","",1
"glance","vi. 匆匆一看；一瞥","'glɑ:ns","",1
"legal","a.与法律有关的，法律的","'li:gәl","",1
"permission","n. 允许,许可,同意","pә'miʃәn","",1
"shortly","adv. 不久","'ʃɒ:tli","",1
"shorts","n. 短裤；运动短裤","ʃɔ:ts","",1
"aim","n.目的；目标v. 计划，打算；瞄准；针对","eim","",1
"comment","n. 评论","'kɒment","",1
"printer","n. 打印机","'printә","",1
"printing","n. 印刷，印刷术","'printiŋ","",1
"simply","ad.简单地,(加强语气)的确","'simpli","",1
"submit","v. 提交，呈递（文件，建议等","sәb'mit","",1
"aspect","n. 方面，外观，外表","'æspekt","",1
"boxing","n. 拳击（运动）","'bɒksiŋ","",1
"choice","n. 选择；抉择","tʃɒis","",1
"greeting","n. 祝贺","'gri:tiŋ","",1
"receiver","n. 电话听筒","ri'si:vә","",1
"terminal","a.(火车汽车飞机)终点站","'tә:minәl","",1
"argument","n. 争论，辩论","'ɑ:gjumәnt","",1
"attempt","vt. 试图，尝试","ә'tempt","",1
"engine","n. 发动机，引擎","'endʒin","",1
"explanation","n. 解释，说明",".eksplә'neiʃәn","",1
"extension","n.扩大，延伸","ik'stenʃәn","",1
"frog","n. 青蛙","frɒg","",1
"intelligence","n.智力,才智,智慧","in'telidʒәns","",1
"ray","n. 光辉，光线","rei","",1
"temporary","adj. 短暂的，暂时的","'tempәrәri","",1
"category","n. 类别，种类","'kætigәri","",1
"dine","v. 吃饭；（指正式）进餐","dain","",1
"loaf","n. 一个面包","lәuf","",1
"thread","n. 线","θred","",1
"capacity","容量；能力","kә'pæsiti","",1
"boundary","n. 边界，界限","'baundri","",1
"combine","vt. 使联合；使结合","kәm'bain","",1
"false","adj. 不正确的；假的","fɒ:ls","",1
"background","n. 背景","'bækgraund","",1
"comedy","n. 喜剧","'kɒmidi","",1
"conduct","vt. 引导，带领","\"'kɔndʌkt","",1
"host","n. 主人；节目主持人 v. 做主人招待","hәust","",1
"recommend","v. 推荐",".rekә'mend","",1
"replace","vt. 取代","ri'pleis","",1
"respond","v.回答,回应,作出反应","ri'spɒnd","",1
"debate","n. & v.讨论，辩论","di'beit","",1
"reviewer","n. 评论者；书评家","ri'vju:ә(r)","",1
"trend","n. 趋势，倾向，动态","trend","",1
"cycle","vi. 骑自行车","'saikl","",1
"ending","n. 结局；结尾，最后","'endiŋ","",1
"media","n. 大众传播媒介","'mi:diә","",1
"cell","n.（监狱的）单人牢房；（修道院等的）单人小室；（蜂巢的）小蜂窝，蜂房；［生物］ 细胞","sel","",1
"cellar","n. 地窖；地下储藏室","'selә","",1
"constant","adj. 经常的，不断的","'kɒnstәnt","",1
"due","adj. 预期的；约定的","dju:","",1
"mass","n. 众多;大量;（复）群众","mæs","",1
"production","n. 生产；制造","prә'dʌkʃәn","",1
"switch","v&n. 开关,转换,改变","switʃ","",1
"brand","n. 品牌","brænd","",1
"evolution","n. 进化，演变",".i:vә'lu:ʃәn","",1
"guidance","n. 引导，指导","'gaidns","",1
"indicate","v.表明，象征，暗示","'indikeit","",1
"material","n. 材料，原料","mә'tiәriәl","",1
"outline","n. 概述，略述","'autlain","",1
"preview","vt. 预习;试演;预展","'pri:vju:","",1
"translation","n. 翻译；译文","træns'leiʃәn","",1
"unite","v. 联合，团结","ju:'nait","",1
"view","n. 看法,见解;风景,景色","vju:","",1
"claw","n. 爪","klɒ:","",1
"container","n. 容器","kәn'teinә","",1
"otherwise","ad.要不然,否则,另样","'ʌðәwaiz","",1
"patent","n.专利权，专利证书","'pætnt. 'peitnt","",1
"weekly","adj. 每周的","'wi:kli","",1
"account","n. 账目;描述","ә'kaunt","",1
"alternative","a.可供替代,非传统的","ɒ:l'tә:nәtiv","",1
"branch","n. 树枝；分枝；分公司，分店；支部","bræntʃ","",1
"latest","a.最近，最新的；最晚的","'leitist","",1
"organization","n. 组织，机构",".ɒ:gәnai'zeiʃәn","",1
"register","n. 登记簿，花名册，注册员 v. 登记，注册","'redʒistә","",1
"simplify","v. 使简化，使简易","'simplifai","",1
"transport","n.& vt.运输","træns'pɒ:t","",1
"importance","n. 重要性","im'pɒ:tәns","",1
"suitable","adj. 合适的，适宜的","'sju:tәbl","",1
"temple","n. 庙宇，寺院","templ","",1
"totally","adv. 总合地，完全地","'tәutli","",1
"truly","adv. 真正地，真实地","'tru:li","",1
"trunk","n. 树干；大箱子","trʌŋk","",1
"vital","adj. 必不可少的，对…极重要的","'vaitl","",1
"bound","adj. 被束缚的；被绑的；有义务的 v.& n. 跳跃","baund","",1
"contribute","v. 贡献","kәn'tribju:t","",1
"lack","n.& vt. 缺乏，缺少","læk","",1
"merely","adv. 仅仅，只不过","'miәli","",1
"perfect","adj. 完美的，极好的","'pә:fikt","",1
"routine","n. 常规,正常顺序,无聊","ru:'ti:n","",1
"tip","n.& v.顶端，尖端；告诫； 提示 (给)小费","tip","",1
"ambiguous","adj. 模棱两可的","æm'bigjuәs","",1
"arch","n. 拱，拱门","ɑ:tʃ","",1
"are","v.(be) 是","ɑ:","",1
"communicate","v. 交际；传达（感情，信息等）","kә'mju:nikeit","",1
"deliver","vt. 投递（信件，邮包等）","di'livә","",1
"dull","adj. 阴暗的；单调无味","dʌl","",1
"native","adj. 本土的，本国的","'neitiv","",1
"ouch","int（突然受痛时叫声）哎哟","autʃ","",1
"p","arallel n. 极其相似的人,纬线","pi:","",1
"per","prep. 每，每一","pә:","",1
"pest","n. 害虫","pest","",1
"private","adj. 私人的","'praivit","",1
"remove","vt. 移动，拿走，脱掉（衣服等）","ri'mu:v","",1
"saying","n. 说，俗话，谚语","'seiiŋ","",1
"skip","v. 蹦蹦跳跳；跳绳","skip","",1
"skipping","rope （跳绳用）绳","'skipiŋ","",1
"therefore","adv. 因此，所以","'ðєәfɒ:","",1
"assess","v.评价,评定（性质,质量）","ә'ses","",1
"assessment","n. 看法，评价","ә'sesmәnt","",1
"c","enter n. 中心，中央","si:","",1
"conflict","n. 冲突，争执，争论","'kɒnflikt","",1
"effect","n. 效果；作用","i'fekt","",1
"expand","v.扩大，增加，扩展","ik'spænd","",1
"flexible","a.灵活的，可变动的","'fleksәbl","",1
"mud","n. 泥, 泥浆","mʌd","",1
"partner","n. 搭档，合作者","'pɑ:tnә","",1
"personally","adv. 就自己而言","'pә:sәnli","",1
"physical","adj. 身体的；物理的","'fizikl","",1
"preference","n. 选择，趋向","'prefәrәns","",1
"scores","n. 许多，很多","skɔ:z","",1
"signal","n. 信号，暗号","'signl","",1
"skin","n. 皮，皮肤；兽皮","skin","",1
"tube","n. 管，管状物","tju:b","",1
"waiter","n. （餐厅）男服务员","'weitә","",1
"afte","r ad. 在后；后来prep. 在…之后；在后面conj. 在…以后","","",1
"distance","n. 距离","'distәns","",1
"effort","n. 努力，艰难的尝试","'efәt","",1
"handy","adj. 便利的，顺手的","'hændi","",1
"major","adj. 较大的；主要的","'meidʒә","",1
"measure","v. 量","'meʒә","",1
"official","n.（公司、团体或政府）官员 ,高级职员 a.官方,政府的","ә'fiʃәl","",1
"position","n. 位置","pә'ziʃәn","",1
"strength","n. 力量，力气","streŋθ","",1
"trick","n. 诡计，把戏","trik","",1
"accomplish","v. 完成","ә'kʌmpliʃ","",1
"appendix","n. 附录，阑尾","ә'pendiks","",1
"character","n.（汉）字.字体；品格","'kærәktә","",1
"choir","n. 合唱团，教堂的唱诗班","'kwaiә","",1
"concern","v.&n. 涉及，关心","kәn'sә:n","",1
"fall","n. （美）秋季","fɒ:l","",1
"hive","n. 蜂房；蜂箱","haiv","",1
"identity","n. 身份，特征","ai'dentiti","",1
"occur","vi. 发生","ә'kә:","",1
"recognize","vt.认出","'rekәgnaiz","",1
"reflect","v. 反映，反射","ri'flekt","",1
"regardless","adj. 不顾，不加理会","ri'gɑ:dlis","",1
"signature","n. 签名","'signәtʃә","",1
"variety","n. 种种，种类","vә'raiәti","",1
"contact","联系","'kɒntækt","",1
"contrast","对比","kәn'træst","",1
"academic","a.&n. 学术的，教学的",".ækә'demik","",1
"automatic","adj. 自动的，机械的",".ɒ:tә'mætik","",1
"brief","adj. 简洁的","bri:f","",1
"challenging","a.具有挑战性的","'tʃælindʒiŋ","",1
"exchange","n. 交换，掉换；交流","iks'tʃeindʒ","",1
"frequent","adj. 经常的；频繁的","'fri:kwәnt","",1
"lung","n. 肺；肺脏","lʌŋ","",1
"obtain","vt. 获得；得到","әb'tein","",1
"polish","v.擦亮 n.擦光剂,亮光剂","'pɒliʃ","",1
"procedure","n. 程序,手续,待遇","prә'si:dʒә","",1
"publish","t. 出版，发行","'pʌbliʃ","",1
"systematic","a.系统的,有条理的",".sisti'mætik","",1
"appear","vi. 出现","ә'piә","",1
"collection","n. 收藏品，收集物","kә'lekʃәn","",1
"confirm","v. 证实，证明，确认","kәn'fә:m","",1
"hong","* n. 香港","hɔŋ","",1
"howl","vi. 嚎叫，嚎哭 hug /hʌɡ/ v. 拥抱","haul","",1
"jar","n. 罐子；坛子","dʒɑ:","",1
"jaw","n. 下巴","dʒɒ:","",1
"rank","n. 职衔，军衔","ræŋk","",1
"rate","n&v. 率，评估，评价","reit","",1
"secure","a.安心的,有把握的,牢靠的","si'kjuә","",1
"straightforward","a&ad. 简单的，坦率的","streit'fɒ:wәd","",1
"cave","n. 洞，穴；地窖","keiv","",1
"credit","n. 信用；信赖；信誉","'kredit","",1
"freedom","n. 自由","'fri:dәm","",1
"incorrect","adj. 不正确的，错误的",".inkә'rekt","",1
"introduction","n. 引进，介绍",".intrә'dʌkʃәn","",1
"mop","n.&v. 拖把 拖地","mɒp","",1
"ruin","vt. （使）毁坏；（使） 毁灭 n. (复) 废墟；遗迹","ruin","",1
"universal","adj. 普遍的，全体的",".ju:ni'vә:sl","",1
"valid","a.有效的,合理的,有根据的","'vælid","",1
"vast","adj. 巨大的，广阔的","vɑ:st","",1
"behalf","n. 代表某人，为了某人","bi'hɑ:f","",1
"concrete","adj. 混凝土制的","'kɒnkri:t","",1
"deliberately","ad.故意,蓄意,存心","di'libәrәtli","",1
"figure","n.数字；数目；图；图形；（人的）身型；人物；（绘画、雕刻）人物像 vt.（美口语）认为，判断.（在心里）想像，描绘","'figә","",1
"predict","v. 预言，预告，预报","pri'dikt","",1
"random","a.随意,未经事先考虑的","'rændәm","",1
"rewrite","vt. 重写","ri:'rait","",1
"deliberate","故意的；深思的","di'libәrәt","",1
"accent","n. 口音，音调","'æksәnt","",1
"calculate","v. 计算，核算，推测","'kælkjuleit","",1
"compare","vt. 比较，对照","kәm'pєә","",1
"depth","n. 深，深度","depθ","",1
"interpreter","n.翻译","in'tә:pritә","",1
"mistaken","adj. 错误的","mis'teikәn","",1
"pure","adj. 纯的, 不掺杂的","pjuә","",1
"rapid","adj. 快的，迅速的","'ræpid","",1
"sense","n. 感觉，意识","sens","",1
"zip","v.& n.拉开(或扣上)……的拉链；拉链","zip","",1
"claim","声称；主张","kleim","",1
"assume","v. 假定，假设","ә'sju:m","",1
"bun","n. 馒头；小甜面包","bʌn","",1
"catalogue","n. 目录","'kætәlɒg","",1
"clarify","v. 澄清，阐明","'klærifai","",1
"consideration","n. 考虑；关心","kәn.sidә'reiʃәn","",1
"edition","n.（发行物的）版，版（本）","i'diʃәn","",1
"expose","vt. 揭露","ik'spәuz","",1
"favor","n. 恩惠；好意；帮助","'feivә","",1
"fist","n. 拳(头)","fist","",1
"guard","n. 防护装置，警戒","gɑ:d","",1
"poet","n. 诗人","'pәuit","",1
"pot","n. 锅，壶，瓶，罐","pɒt","",1
"preserve","v.保护，保留，保存","pri'zә:v","",1
"root","n. 根，根源，起源","ru:t","",1
"scratch","v&n. 划破，划痕，划伤","skrætʃ","",1
"sensitive","a.体贴的,善解人意的","'sensitiv","",1
"specialist","n. （医学）专家，专科医生；专家；专业人员","'speiʃәlist","",1
"acknowledge","v. 承认","әk'nɒlidʒ","",1
"amount","n.&v. 金额，数量，总计","ә'maunt","",1
"artificial","adj. 人工的，人造的",".ɑ:ti'fiʃәl","",1
"delete","v. 删去","di'li:t","",1
"evidence","n. 证据，证明","'evidәns","",1
"flee","(fled, fled) v. 逃走；逃跑","fli:","",1
"literature","n. 文学","'litәrәtʃә","",1
"pin","n. 别针 v. 别住, 钉住","pin","",1
"pine","n. 松树","pain","",1
"pint","n.（液量单位）品脱","paint","",1
"rebuild","vt. 重建","ri'bild","",1
"responsibility","n. 责任，负责","ri.spɒnsә'biliti","",1
"throughout","prep. 遍及，贯穿","θru:'aut","",1
"urgent","adj. 紧急的，紧迫的","'ә:dʒәnt","",1
"whisper","v. 低语，私下说","'hwispә","",1
"despite","尽管","di'spait","",1
"alongside","ad.在…旁边,与…同时","ә'lɒŋ'said","",1
"apply","v. 申请","ә'plai","",1
"aware","adj. 知道，意识到，发觉","ә'wєә","",1
"bar","n. 条（长方）块，棒，横木 n.（酒店的）买酒柜台；酒吧；（卖东西的）柜台","bɑ:","",1
"bark","v. 狗叫 n. 狗叫声","bɑ:k","",1
"differ","v. 相异，有区别","'difә","",1
"float","vi. 漂浮，浮动","flәut","",1
"pray","v. 祈祷；祈求","prei","",1
"rely","v. 依赖，依靠","ri'lai","",1
"restrict","v. 限制","ri'strikt","",1
"scan","v. 略读，浏览，扫描","skæn","",1
"split","v. 撕开;切开","split","",1
"steak","n. 牛排，肉排，鱼排","steik","",1
"steel","n. 钢，钢铁","sti:l","",1
"thorough","adj. 彻底的","'θʌrә","",1
"valuable","adj. 值钱的，贵重的","'væljuәbl","",1
"abstract","a.&n. 抽象的（作品）","'æbstrækt","",1
"affect","vt. 影响","ә'fekt","",1
"agreement","n. 同意，一致；协定，协议","ә'gri:mәnt","",1
"charge","v. 要求收费；索价；将(电池)充电 n. 费用；价钱","tʃɑ:dʒ","",1
"click","v. 点击（计算机用语）","klik","",1
"consist","v. 包含，组成，构成","kәn'sist","",1
"damage","n.& vt. 毁坏，损害","'dæmidʒ","",1
"drug","n. 药，药物；毒品","drʌg","",1
"export","n.&v.出口，输出","ik'spɒ:t","",1
"holy","adj. 神圣的","'hәuli","",1
"intend","vt. 想要，打算","in'tend","",1
"possess","vt. 占有；拥有","pә'zes","",1
"restriction","n. 限制，约束","ri'strikʃәn","",1
"arise","vi. 起来，升起；出现","ә'raiz","",1
"audience","n. 观众，听众","'ɒ:diәns","",1
"carve","vt.刻；雕刻","kɑ:v","",1
"central","adj. 中心，中央；主要的","'sentrәl","",1
"companion","n. 同伴；同事","kәm'pænjәn","",1
"conclude","v. 完成，结束","kәn'klu:d","",1
"france*","n. 法国","","",1
"loss","n. 丧失；损耗","lɒs","",1
"manner","n. 方式，态度，举止","'mænә","",1
"maximum","a.& n. 最大量(的)； 最大限度(的)","'mæksimәn","",1
"presentation","n. 演示，演出",".prezәn'teiʃәn","",1
"primitive","adj. 原始的，远古的","'primitiv","",1
"reject","v. 拒绝","ri'dʒekt","",1
"sleepy","adj. 想睡的,困倦的,瞌睡的","'sli:pi","",1
"statement","n.声明，陈诉，说法","'steitmәnt","",1
"transparent","a.透明的，清澈的","træns'pærәnt","",1
"boost","提升","bu:st","",1
"adaptation","n. 适应，改编本",".ædæp'teiʃәn","",1
"addition","n.增加;（算数用语）加","ә'diʃәn","",1
"border","n. 边缘；边境，国界","'bɒ:dә","",1
"clone","n.克隆（无性繁殖出来的有机体群）","klәun","",1
"corrupt","a.&v. 贪污的，腐败的，使腐化，堕落","kә'rʌpt","",1
"gram","n. 克(重量单位)","græm","",1
"ha","int. 哈(笑声)","hɑ:","",1
"hawk","n. 鹰","hɒ:k","",1
"industry","n. 工业，产业","'indәstri","",1
"period","n. 时期，时代","'piәriәd","",1
"possibility","vn. 可能，可能性",".pɒsә'biliti","",1
