"field","n. 田地;牧场;场地","fi:ld","",1
"instruction","n. 说明,须知;教导","in'strʌkʃәn","",1
"offer","n.& vt. 提供；建议","'ɒfә","",1
"return","v. 归还","ri'tә:n","",1
"review","vt. 重新调查；回顾；复习 n. 复查；复习；评论","ri'vju:","",1
"clear","adj. 清晰；明亮的；清楚的","kliә","",1
"clearly","adv. 清楚地，无疑地","'kliәli","",1
"path","n. 小道，小径","pɑ:θ","",1
"potential","adj. 潜在的，可能的","pә'tenʃәl","",1
"chart","n. 图表；航海图","tʃɑ:t","",1
"think","v. 想；认为；考虑","θiŋk","",1
"form","n. 表格；形式；结构","fɒ:m","",1
"two","num. 二","tu:","",1
"base","n. 根据地,基地,（棒球）垒","beis","",1
"give","vt. 给,递给,付出,给予","giv","",1
"help","n. & vt. 帮助，帮忙","help","",1
"ability","n. 能力;才能","ә'biliti","",1
"number","n. 数,数字,号码,数量","'nʌmbә","",1
"act","n. 法令，条例 v. 行动,（戏）表演,扮演（角色）","ækt","",1
"common","adj. 普通，一般；共有的","'kɒmәn","",1
"exist","vi. 存在","ig'zist","",1
"open","adj. 开着的,开的 vt. 开,打开","'әupәn","",1
"large","adj. 大的；巨大的","lɑ:dʒ","",1
"mean","vt. 意思,意指","mi:n","",1
"meaning","n. 意思，含意","'mi:niŋ","",1
"means","n. 方法，手段；财产","mi:nz","",1
"decision","n. 决定；决心","di'siʒәn","",1
"team","n. 队，组","ti:m","",1
"deep","adj. 深 ad. 深；深厚","di:p","",1
"every","adj. 每一，每个的","'evri","",1
"table","n. 桌子，表格","'teibl","",1
"description","n. 描述，描写","di'skripʃәn","",1
"part","n. 部分；角色；部件；零件 a. 局部的；部分的","pɑ:t","",1
"blow","v. 吹；刮风；吹气 n. 击；打击","blәu","",1
"conversation","n. 谈话，交谈",".kɒnvә'seiʃәn","",1
"rice","n. 稻米；米饭","rais","",1
"ring","v.（钟、铃等）响；打电话 n. 铃声 n. 环形物（如环、圈、戒指等）","riŋ","",1
"discussion","n. 讨论，辩论","dis'kʌʃәn","",1
"operate","v. 做手术，运转；实施，负责, 经营，管理","'ɒpәreit","",1
"even","adv. 甚至，连（…都）；更","'i:vәn","",1
"evening","n. 傍晚，晚上","'i:vniŋ","",1
"full","adj. 满的，充满的；完全的","ful","",1
"term","n. 学期;术语;条款;项","tә:m","",1
"cover","n. 盖子；罩 v. 覆盖，遮盖；掩盖","'kʌvә","",1
"fix","vt. 修理；安装；确定，决定","fiks","",1
"page","n. 页，页码","peidʒ","",1
"point","v. 指，指向 n. 点；分数","pɒint","",1
"space","n. 空间","speis","",1
"book","n. 书；本子 v. 预定，定（房间、车票等）","buk","",1
"history","n. 历史，历史学","'histәri","",1
"live","vi. 生活;居住;活着 a. 活的,活着的;现场（直播）的","liv.laiv","",1
"lively","adj. 活泼的;充满生气的","'laivli","",1
"correct","v. 改正；纠正 a. 正确的，对的；恰当的","kә'rekt","",1
"fail","v. 失败；不及格；衰退","feil","",1
"flower","n. 花","'flauә","",1
"leg","n. 腿；腿脚；支柱","leg","",1
"library","n. 图书馆，图书室","'laibrәri","",1
"directory","n. 姓名地址录","di'rektәri","",1
"nod","vi. 点头","nɒd","",1
"word","n. 词，单词；话","wә:d","",1
"write","(wrote, written) v. 写，书写；写作，著述","rait","",1
"high","adj. 高的;高度的 ad. 高地","hai","",1
"need","n. 需要,需求 aux.& v. 需要,必须","ni:d","",1
"needle","n. 针","'ni:dl","",1
"engineer","n. 工程师；技师",".endʒi'niә","",1
"keep","v. 保持；保存；继续不断 vt. 培育，饲养","ki:p","",1
"take","vt. 拿；拿走；做；服用；乘坐；花费","teik","",1
"english","adj. 英国的，英国人的，英语的 n. 英语","'iŋgliʃ","",1
"send","v. 打发，派遣；送，邮寄","send","",1
"copy","n. 抄本，副本；一本（份，册…） v. 抄写,复印,拷贝","'kɒpi","",1
"envy","vt.& n. 忌妒； 羡慕","'envi","",1
"lead","v. 领导，带领 n. 铅","li:d. led","",1
"way","n. 路，路线；方式，手段","wei","",1
"break","n. 间隙,中断,暂停 v. 打破（断，碎）","breik","",1
"market","n. 市场，集市","'mɑ:kit","",1
"go","vi. 去；走；驶；通到；到达 n. 尝试（做某事）","gou","",1
"goat","n. 山羊","gәut","",1
"golf","n. 高尔夫球","gɒlf","",1
"programme","n. 节目；项目","'prәugræm","",1
"rather","adv. 相当，宁可","'ræðә","",1
"track","n. 轨道；田径","træk","",1
"discovery","n. 发现","dis'kʌvәri","",1
"never","adv. 决不，从来没有","'nevә","",1
"order","vt. 定购，定货；点菜n. 顺序","'ɒ:dә","",1
"want","vt. 想,想要,需要,必要","wɒnt","",1
"expect","vt. 预料；盼望；认为","iks'pekt","",1
"improve","vt. 改进，更新","im'pru:v","",1
"line","n. 绳索，线，排，行，线路 v. 画线于，（使）成行","lain","",1
"map","n. 地图","mæp","",1
"not","adv. 不，没","nɒt","",1
"note","n. 便条，笔记，注释；钞票，音调","nәut","",1
"proud","adj. 自豪的；骄傲的","praud","",1
"show","n. 展示,展览（会）;演出","ʃәu","",1
"cost","v.值（钱），花费 n. 价格","kɒst","",1
"company","n. 公司","'kʌmpәni","",1
"develop","v.（使）发展；开发 vt. 冲洗（照片）","di'velәp","",1
"during","prep. 在…期间；在…过程中","'djuәriŋ","",1
"sir","n. 先生；阁下","sә:","",1
"challenge","n.挑战(性)","'tʃælindʒ","",1
"immediately","adv. 立即","i'mi:diәtli","",1
"important","adj. 重要的","im'pɒ:tәnt","",1
"necessary","adj. 必需的，必要的","'nesisәri","",1
"network","n. 网络，网状系统","'netwә:k","",1
"quick","adj. 快；敏捷的；急剧的","kwik","",1
"lift","v. 举起，抬起；（云、烟等）消散 n. （英）电梯","lift","",1
"lion","n. 狮子","'laiәn","",1
"lip","n. 嘴唇","lip","",1
"three","num. 三","θri:","",1
"always","adv. 总是；一直；永远","'ɒ:lweiz","",1
"typical","adj,典型的，有代表性的","'tipikl","",1
"become","v. 变得；成为","bi'kʌm","",1
"active","adj. 积极的，主动的","'æktiv","",1
"sea","n. 海，海洋","si:","",1
"seat","n. 座位，座","si:t","",1
"s","ilentˈsailənt] a. 无声的，无对话的","es","",1
"know","v. 知道，了解；认识；懂得","nәu","",1
"another","adj. 再一；另一；别的 pron. 另一个","ә'nʌðә","",1
"customer","n.（商店）顾客，主顾","'kʌstәmә","",1
"dad","n.（口）爸爸，爹爹","dæd","",1
"match","vt. 使相配，使成对 n. 比赛，竞赛 n. 火柴","mætʃ","",1
"free","adj. 自由，空闲的；免费的","fri:","",1
"general","adj. 大体，笼统的，总的","'dʒenәrәl","",1
"against","prep. 对着,反对,倚靠","ә'geinst","",1
"produce","vt. 生产；制造","prә'dju:s","",1
"pull","拉，拖 n. 拉力，引力","pul","",1
"look","n. 看，瞧 v. 看，观看 v. link 看起来","luk","",1
"true","adj. 真的，真实的；忠诚的","tru:","",1
"date","n. 日期；约会 n.枣","deit","",1
"however","adv. 可是 conj. 然而，可是，尽管如此","hau'evә","",1
"separate","v. 使分开，使分离 a. 单独的，分开的","'sepәreit","",1
"store","n. 商店 vt. 储藏，存储","stɒ:","",1
"runner","n. 赛跑者；操作者；滑行装置","'rʌnә","",1
"class","n.（学校的）班；年级；课","klɑ:s","",1
"discover","vt. 发现","dis'kʌvә","",1
"please","v. 请,使人高兴,使人满意","pli:z","",1
"pleased","adj. 高兴的","pli:zd","",1
"nail","n. 钉，钉子","neil","",1
"right","n. 权利 a. 对,正确的 ad. 正确地,恰恰,完全地 a. 右,右边的","rait","",1
"tree","n. 树","tri:","",1
"baby","n. 婴儿","'beibi","",1
"ball","n. 球 n. 舞会","bɒ:l","",1
"bath","n. 洗澡；浴室；澡盆","bæθ.bɑ:θ","",1
"business","n.（本分）工作，职业；职责；生意，交易；事业","'biznis","",1
"prevent","vt. 防止, 预防","pri'vent","",1
"whether","conj. 是否","'hweðә","",1
"fame","n. 名声,名望,名誉","feim","",1
"fat","n. 脂肪 a. 胖的；肥的","fæt","",1
"fax","n. 传真","fæks","",1
"real","adj. 真实的，确实的","'riәl","",1
"really","adv. 真正地；到底；确实","'riәli","",1
"size","n. 尺寸，大小","saiz","",1
"sad","a.（使人）悲伤的","sæd","",1
"sail","n. 航行 v. 航行，开航","seil","",1
"salt","n. 盐","sɒ:lt","",1
"connect","v. 连接，把…联系起来","kә'nekt","",1
"top","n. 顶部,（物体的）上面","tɒp","",1
"assistant","n. 助手，助理","ә'sistәnt","",1
"move","v. 移动，搬动，搬家","mu:v","",1
"queen","n. 皇后，女王","'kwi:n","",1
"several","pron. 几个,数个 a. 若干","'sevәrәl","",1
"already","adv. 已经","ɒ:l'redi","",1
"explain","vt. 解释，说明","ik'splein","",1
"meet","vt./ n. 遇见，见到 会；集会","mi:t","",1
"meeting","n. 会,集会,会见,汇合点","'mi:tiŋ","",1
"post","n. 邮政，邮寄，邮件 v. 投寄；邮寄","pәust","",1
"public","adj. 公共,公众的 n. 公众","'pʌblik","",1
"speed","n. 速度 v.（使）加速","spi:d","",1
"spell","vt. 拼写","spel","",1
"storm","n. 风暴，暴（风）雨","stɒ:m","",1
"back","adv. 回（原处）；向后 a. 后面的 n. 背后，后部；背","bæk","",1
"chinese","adj. 中国的；中国人的；汉语的 n. 中国人；汉语，","tʃai'ni:z","",1
"progress","n. 进步,上进 vi. 进展,进行","'prәugres","",1
"tea","n. 茶；茶叶 ","ti:","",1
"tear","n. 眼泪 v. 扯破, 撕开","tiә. tєә","",1
"display","vt. 陈列,展览;显露,表现 n. 陈列,展览;展览品,展览品","dis'plei","",1
"many","pron. 许多人（或物）a. 许多的","'meni","",1
"body","n. 身体","'bɒdi","",1
"exact","adj. 精确的；确切的","ig'zækt","",1
"exactly","adv. 精确地；确切地","i^'zæktli","",1
"future","n. 将来、未来","'fju:tʃә","",1
"law","n. 法律，法令；定律","lɒ:","",1
"try","v. 试，试图，努力","trai","",1
"turn","v. 旋转，翻转，转变，转弯 n. 轮流，顺序","tә:n","",1
"turning","n. 拐弯处，拐角处","'tә:niŋ","",1
"win","n. 获胜，赢得 ","win","",1
"wine","n. 酒","wain","",1
"apple","n. 苹果","'æpl","",1
"natural","adj. 自然的","'nætʃәrәl","",1
"possible","adj. 可能的","'pɒsәbl","",1
"toward","prep. 向，朝，对于","tә'wɒ:d","",1
"begin"," v. 开始,着手","bi'gin","",1
"beginning","n. 开始，开端","bi'giniŋ","",1
"card","n.卡片；名片；纸牌","kɑ:d","",1
"idea","n. 主意,意见,打算,想法","ai'diә","",1
"itself","pron. 它自己","it'self","",1
"last","adj. 最后的 ad. 最后地 n. 最后 v. 持续","lɑ:st","",1
"pass","vt. 传，递；经过；通过","pæs","",1
"because","conj. 因为","bi'kɒ:z","",1
"channel","n.频道；通道；水渠","'tʃænәl","",1
"few","pron. 不多;少数;不多的;少数的","fju:","",1
"present","adj. 出现的，出席的 n. 礼物，赠品 vt. 呈奉，奉送","'preznt","",1
"successful","adj. 成功的,有成就的","sәk'sesful","",1
"also","adv. 也","'ɒ:lsәu","",1
"entry","n. 进入","'entri","",1
"proper","adj. 恰当的，合适的","'prɒpә","",1
"experience","n. 经验；经历","ik'spiәriәns","",1
"experiment","n. 实验","ik'sperimәnt","",1
"serve","vt. 招待（顾客等）,服务","sә:v","",1
"small","adj. 小的，少的","smɒ:l","",1
"area","n. 面积；地域，区域；范围，领域","'єәriә","",1
"save","vt. 救，挽救，节省","seiv","",1
"stocking","n. 长统袜","'stɒkiŋ","",1
"under","ad.& prep. 在…下面，向…下面","'ʌndә","",1
"choose","vt. 选择","tʃu:z","",1
"demand","vt. 要求","di'mɑ:nd","",1
"depend","vi. 依靠，依赖，指望；取决于","di'pend","",1
"may","n. 5月","mei","",1
"reach","v. 到达,伸手(脚)够到","ri:tʃ","",1
"safety","n. 安全，保险","'seifti","",1
"weather","n. 天气","'weðә","",1
"bit","n. 一点，一些，少量的","bit","",1
"inside","prep. 在…里面 ad. 在里面","'in'said","",1
"light","n. 光，光亮；灯，灯光 vt. 点（火），点燃 a. 明亮的；轻的；浅色的","lait","",1
"price","n. 价格，价钱","prais","",1
"record","n. 记录；唱片","ri'kɒ:d","",1
"world","n. 世界","wә:ld","",1
"short","adj. 短的；矮的","ʃɒ:t","",1
"art","n. 艺术，美术；技艺","ɑ:t","",1
"cocoa","n. 可可粉","'kәukәu","",1
"manager","n. 经理","'mænidʒә","",1
"past","adv. 过 n. 过去，昔日，往事 prep. 过…，走过某处","pɑ:st","",1
"person","n. 人","'pә:sn","",1
"print","vt. 印刷","print","",1
"row","n.（一）排,（一）行 v. 划船","rәu. rau","",1
"such","] ad. 那么 pron.（泛指）人，事物 a. 这样的，那样的","sʌtʃ","",1
"box","n. 盒子，箱子","bɒks","",1
"either","adj. 两方任一方的；二者之一 conj. 二者之一；要么 ad. 也","'i:ðә","",1
"expert","n. 专家，能手","'ekspә:t","",1
"greet","vt. 问候；向…致敬","gri:t","",1
"receive","v. 收到，得到","ri'si:v","",1
"scientific","adj. 科学的",".saiәn'tifik","",1
"bird","n. 鸟","bә:d","",1
"continue","vi. 继续","kәn'tinju:","",1
"fetch","vt.（去）取（物）来，（去）带（人）来","fetʃ","",1
"from","prep. 从,从…起,来自","frɒm","",1
"fry","vt. 用油煎；用油炸","frai","",1
"notice","n. 布告，通告；注意 vt. 注意，注意到","'nәutis","",1
"piece","n. 一块（片，张，件…）","pi:s","",1
"still","adj. 不动的,平静的 ad. 仍然,还","stil","",1
"both","adj. 两；双 pron. 两者；双方","bәuθ","",1
"dig","v. 挖（洞沟）,掘","dig","",1
"dip","vt. 浸，蘸；把…放入又取出","dip","",1
"dish","n. 盘，碟；盘装菜；盘形物","diʃ","",1
"fill","vt. 填空，装满","fil","",1
"head","n. 头；头脑；首脑；标题 a. 头部的；主要的 v. 率领；驶向","hed","",1
"introduce","vt. 介绍",".intrә'dju:s","",1
"loud","adj. 大声的","laud","",1
"pour","vi. 倾泻，不断流出","pɒ:","",1
"subject","n. 题目；主题；学科；主语；主体","'sʌbdʒekt","",1
"suggest","vt. 建议，提议","sәg'dʒest","",1
"else","adv. 别的，其他的","els","",1
"long","adj. 长的，远 ad. 长久","lɒŋ","",1
"outside","n. 外面 ad. 在外面；向外面 prep. 在…外面","'aut'said","",1
"remain","vt. 余下,留下 vi. 保持,仍是","ri'mein","",1
"star","n. 星，恒星","stɑ:","",1
"thank","vt. 感谢，致谢，道谢 n.（复）感谢，谢意","θæŋk","",1
"together","adv. 一起，共同","tә'geðә","",1
"come","vi. 来，来到","kʌm","",1
"count","vt. 数，点数","kaunt","",1
"edge","n. 边缘","edʒ","",1
"instruct","vt. 通知；指示；教","in'strʌkt","",1
"now","adv. 现在","nau","",1
"pork","n. 猪肉","pɒ:k","",1
"technology","n. 技术","tek'nɒlәdʒi","",1
"mention","n. 提及；记载 vt. 提到，说起","'menʃәn","",1
"modern","adj. 现代的","'mɒdәn","",1
"second","n. 秒 num. 第二 a. 第二的","'sekәnd","",1
"until","prep.& conj. 直到…为止","әn'til","",1
"useful","adj. 有用的，有益的","'ju:sful","",1
"decide","v. 决定；下决心","di'said","",1
"end","n. 末尾；终点；结束 v. 结束，终止","end","",1
"equip","vt. 提供设备；装备；配备","i'kwip","",1
"gate","n. 大门","geit","",1
"group","n. 组，群","gru:p","",1
"home","n. 家 ad. 到家；回家","hәum","",1
"repeat","vt. 重说，重做","ri'pi:t","",1
"share","vt. 分享，共同使用","ʃєә","",1
"wrong","adj. 错误,不正常,有毛病的","rɒŋ","",1
"around","adv. 在周围；在附近 prep. 在…周围；大约","ә'raund","",1
"machine","n. 机器","mә'ʃi:n","",1
"traditional","adj. 传统的，风俗的，惯例的","trә'diʃәnl","",1
"advantage","n. 优点；好处,有利条件","әd'vɑ:ntidʒ","",1
"die","v. 死","dai","",1
"found","vt. 成立，建立","faund","",1
"foundation","n. 基础;基本原理,根据,基金会;建立,创办","faun'deiʃәn","",1
"job","n. （一份）工作","dʒɒb","",1
"sentence","n. 句子","'sentәns","",1
"ship","n. 船，轮船 vi. 用船装运","ʃip","",1
"third","num. 第三","θә:d","",1
"ton","n.（重量单位）吨","tʌn","",1
"unit","n. 单元，单位","'ju:nit","",1
"article","n. 文章;物品;冠词","'ɑ:tikl","",1
"catch","v. 接住；捉住；赶上；染上（疾病）","kætʃ","",1
"composition","n. 作文；作曲","kɒmpә'ziʃәn","",1
"especially","adv. 特别，尤其","i'speʃәli","",1
"later","adj. 晚些的，迟些的","'leitә","",1
"mild","adj. 温和,暖和的,凉爽的","maild","",1
"mile","n. 英里","mail","",1
"milk","n. 牛奶 vt. 挤奶","milk","",1
"situation","n. 形势，情况",".sitju'eiʃәn","",1
"week","n. 星期，周","wi:k","",1
"well","(better, best) ad. 好 a.好的,健康的 int. 好吧,那么,哎呀 n. 井","wel","",1
"white","adj. 白色的 n. 白色","hwait","",1
"express","vt. 表达；表示；表情 n. 快车，特快专递","ik'spres","",1
"something","pron. 某事；某物","'sʌmθiŋ","",1
"everything","pron. 每件事，事事","'evriθiŋ","",1
"recent","adj. 近来的，最近的","'ri:snt","",1
"remember","v. 记得，想起","ri'membә","",1
"total","adj. 总数的;完全的 n./ v. 合计,总计","'tәutl","",1
"truck","n. 卡车, 运货车；车皮","trʌk","",1
"button","n. 纽扣；（电铃等的）按钮 v. 扣（纽扣） ","'bʌtәn","",1
"dictionary","n. 词典，字典","'dikʃәnәri","",1
"digital","adj. .数字的，数码的","'didʒitәl","",1
"feel","v.& link 感觉，觉得；摸，触","fi:l","",1
"feeling","n. 感情；感觉","'fi:liŋ","",1
"flag","n. 旗；标志；旗舰","flæg","",1
"interest","n. 兴趣，趣味;利息","'intrist","",1
"interesting","adj. 有趣的","'intristiŋ","",1
"into","prep. 到…里;向内；变成","'intu:","",1
"novel","n.（长篇）小说","'nɒvl","",1
"plus","prep. 加，加上","plʌs","",1
"though","conj. 虽然，可是","ðәu","",1
"treat","vt. 对待，看待","tri:t","",1
"worker","n. 工人；工作者","'wә:kә","",1
"duck","n. 鸭子","dʌk","",1
"dust","n. 灰尘，尘土","dʌst","",1
"july","n. 7月","dʒu:'lai","",1
"just","adv. 刚才；恰好；不过；仅 a. 公正的","dʒʌst","",1
"let","vt. 让","let","",1
"our","pron. 我们的","'auә","",1
"ours","pron. 我们的","'auәz","",1
"out","adv. 出外;在外,向外;熄","aut","",1
"pea","n. 豌豆","pi:","",1
"pear","n. 梨子，梨树","pєә","",1
"say","vt. 说，讲","sei","",1
"shape","n. 形状，外形 v. 使成型，制造，塑造","ʃeip","",1
"careful","adj. 小心，仔细，谨慎的","'kєәful","",1
"day","n.（一）天，（一）日；白天","dei","",1
"difficult","adj. 难；艰难；不易相处的","'difikәlt","",1
"kick","v.& n. 踢","kik","",1
"kid","n. 小孩","kid","",1
"king","n. 国王","kiŋ","",1
"must","v. 必须,应当;必定是","mʌst","",1
"personal","adj. 个人的，私人的","'pә:snl","",1
"prefer","vt.宁愿（选择）,更喜欢","pri'fә:","",1
"score","n.& v. 得分，分数,二十","skɒ:","",1
"wait","vi. 等，等候","weit","",1
"anything","pron. 什么事（物）；任何事（物）","'eniθiŋ","",1
"attention","n. 注意，关心","ә'tenʃәn","",1
"easy","adj. 容易的，不费力的","'i:zi","",1
"hand","n. 手；指针 v. 递;给;交付;交上","hænd","",1
"telegram","n. 电报","'teli^ræm","",1
"tell","vt. 告诉,讲述,吩咐","tel","",1
"unless","conj. 如果不，除非",".ʌn'les","",1
"accept","vt. 接受","әk'sept","",1
"bank","n.（河海湖的）岸，堤, 银行","bæŋk","",1
"clean","vt. 弄干净，擦干净 a. 清洁的，干净的","kli:n","",1
"examine","vt. 检查；诊察","ig'zæmin","",1
"hi","int. 你好（表示打招呼、问候或唤起注意）","hai","",1
"hill","n. 小山;丘陵;土堆;斜坡","hil","",1
"his","pron. 他的","hiz","",1
"lot","n. 许多，好些","lɒt","",1
"secret","n. 秘密，内情","'si:krit","",1
"strict","adj. 严格的，严密的","strikt","",1
"usual","adj. 通常的，平常的","'ju:ʒuәl","",1
"usually","adv. 通常，经常","'ju:ʒuәli","",1
"air","n. 空气；大气","єә","",1
"along","adv. 向前；和…一起；一同 prep. 沿着；顺着","ә'lɒŋ","",1
"face","n. 脸 vt. 面向；面对","feis","",1
"life","n. 生命；生涯；生活；人生；生物","laif","",1
"luck","n. 运气，好运","lʌk","",1
"party","n. 聚会，晚会；党派","'pɑ:ti","",1
"push","n.& v. 推","puʃ","",1
"safe","adj. 安全的 n. 保险柜","seif","",1
"stop","n. 停；（停车）站 v. 停，停止，阻止","stɒp","",1
"activity","n. 活动","æk'tiviti","",1
"blue","n. 蓝色 a. 蓝色的 a. 悲伤的；沮丧的","blu:","",1
"dark","n. 黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的","dɑ:k","",1
"happen","vi.（偶然）发生,碰巧","'hæpәn","",1
"hard","adv. 努力地；猛烈地 a. 硬的；困难的；艰难的","hɑ:d","",1
"hardly","adv. 几乎不","'hɑ:dli","",1
"hot","adj. 热的","hɒt","",1
"how","adv. 怎样,如何；多么","hau","",1
"magic","adj. 有魔力的","'mædʒik","",1
"mobile","adj. 活动的，可移动的","'mәubil","",1
"perhaps","adv. 可能，或","pә'hæps","",1
"play","v. 玩；打（球）；游戏；播放 n. 玩耍，戏剧","plei","",1
